"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"SBDIBIM8","preprint","2021","Northcutt, Curtis G.; Athalye, Anish; Mueller, Jonas","Pervasive Label Errors in Test Sets Destabilize Machine Learning Benchmarks","","","","","http://arxiv.org/abs/2103.14749","We identify label errors in the test sets of 10 of the most commonly-used computer vision, natural language, and audio datasets, and subsequently study the potential for these label errors to affect benchmark results. Errors in test sets are numerous and widespread: we estimate an average of at least 3.3% errors across the 10 datasets, where for example label errors comprise at least 6% of the ImageNet validation set. Putative label errors are identified using confident learning algorithms and then human-validated via crowdsourcing (51% of the algorithmically-flagged candidates are indeed erroneously labeled, on average across the datasets). Traditionally, machine learning practitioners choose which model to deploy based on test accuracy - our findings advise caution here, proposing that judging models over correctly labeled test sets may be more useful, especially for noisy real-world datasets. Surprisingly, we find that lower capacity models may be practically more useful than higher capacity models in real-world datasets with high proportions of erroneously labeled data. For example, on ImageNet with corrected labels: ResNet-18 outperforms ResNet-50 if the prevalence of originally mislabeled test examples increases by just 6%. On CIFAR-10 with corrected labels: VGG-11 outperforms VGG-19 if the prevalence of originally mislabeled test examples increases by just 5%. Test set errors across the 10 datasets can be viewed at https://labelerrors.com and all label errors can be reproduced by https://github.com/cleanlab/label-errors.","2021-11-07","2024-08-29 02:48:11","2024-08-29 02:48:11","2023-01-10 19:35:54","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","Issue: arXiv:2103.14749 arXiv:2103.14749 [cs, stat]","","C:\Users\frank\Zotero\storage\26L8L2WX\Northcutt et al. - 2021 - Pervasive Label Errors in Test Sets Destabilize Ma.pdf; C:\Users\frank\Zotero\storage\ZXLR2N4K\2103.html","","notion","Computer Science - Artificial Intelligence; Computer Science - Machine Learning; Statistics - Machine Learning","","","","","","","","","","","","","","","","","","","arXiv:2103.14749","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z5ZULGPQ","journalArticle","2018","Zhou, Zhi-Hua","A brief introduction to weakly supervised learning","National Science Review","","2095-5138, 2053-714X","10.1093/nsr/nwx106","https://academic.oup.com/nsr/article/5/1/44/4093912","Supervised learning techniques construct predictive models by learning from a large number of training examples, where each training example has a label indicating its ground-truth output. Though current techniques have achieved great success, it is noteworthy that in many tasks it is difficult to get strong supervision information like fully ground-truth labels due to the high cost of the data-labeling process. Thus, it is desirable for machine-learning techniques to work with weak supervision. This article reviews some research progress of weakly supervised learning, focusing on three typical types of weak supervision: incomplete supervision, where only a subset of training data is given with labels; inexact supervision, where the training data are given with only coarse-grained labels; and inaccurate supervision, where the given labels are not always ground-truth.","2018-01-01","2024-08-29 02:48:14","2024-08-29 02:48:14","2022-12-19 18:17:38","44-53","","1","5","","","","","","","","","","en","","","","","DOI.org (Crossref)","","Number: 1","","C:\Users\frank\Zotero\storage\RKP4W4ND\nwx106.pdf; C:\Users\frank\Zotero\storage\9SNI3P6I\4093912.html; C:\Users\frank\Zotero\storage\SCLVHS4T\Zhou - 2018 - A brief introduction to weakly supervised learning.pdf","","notion","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RVFTYNRU","preprint","2022","Zhang, Rongzhi; Yu, Yue; Shetty, Pranav; Song, Le; Zhang, Chao","PRBoost: Prompt-Based Rule Discovery and Boosting for Interactive Weakly-Supervised Learning","","","","","http://arxiv.org/abs/2203.09735","Weakly-supervised learning (WSL) has shown promising results in addressing label scarcity on many NLP tasks, but manually designing a comprehensive, high-quality labeling rule set is tedious and difficult. We study interactive weakly-supervised learning -- the problem of iteratively and automatically discovering novel labeling rules from data to improve the WSL model. Our proposed model, named PRBoost, achieves this goal via iterative prompt-based rule discovery and model boosting. It uses boosting to identify large-error instances and then discovers candidate rules from them by prompting pre-trained LMs with rule templates. The candidate rules are judged by human experts, and the accepted rules are used to generate complementary weak labels and strengthen the current model. Experiments on four tasks show PRBoost outperforms state-of-the-art WSL baselines up to 7.1% and bridges the gaps with fully supervised models. Our Implementation is available at \url{https://github.com/rz-zhang/PRBoost}.","2022-03-18","2024-08-29 02:48:17","2024-08-29 02:48:17","2023-01-01 20:44:19","","","","","","","PRBoost","","","","","arXiv","","","","","","","arXiv.org","","Issue: arXiv:2203.09735 arXiv:2203.09735 [cs]","","C:\Users\frank\Zotero\storage\8G8TJBFK\Zhang et al. - 2022 - PRBoost Prompt-Based Rule Discovery and Boosting .pdf; C:\Users\frank\Zotero\storage\KGNPYN6J\2203.html","","notion","Computer Science - Machine Learning; Computer Science - Computation and Language","","","","","","","","","","","","","","","","","","","arXiv:2203.09735","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RHDZNG78","preprint","2019","Varma, Paroma; Sala, Frederic; He, Ann; Ratner, Alexander; Ré, Christopher","Learning Dependency Structures for Weak Supervision Models","","","","","http://arxiv.org/abs/1903.05844","Labeling training data is a key bottleneck in the modern machine learning pipeline. Recent weak supervision approaches combine labels from multiple noisy sources by estimating their accuracies without access to ground truth labels; however, estimating the dependencies among these sources is a critical challenge. We focus on a robust PCA-based algorithm for learning these dependency structures, establish improved theoretical recovery rates, and outperform existing methods on various real-world tasks. Under certain conditions, we show that the amount of unlabeled data needed can scale sublinearly or even logarithmically with the number of sources $m$, improving over previous efforts that ignore the sparsity pattern in the dependency structure and scale linearly in $m$. We provide an information-theoretic lower bound on the minimum sample complexity of the weak supervision setting. Our method outperforms weak supervision approaches that assume conditionally-independent sources by up to 4.64 F1 points and previous structure learning approaches by up to 4.41 F1 points on real-world relation extraction and image classification tasks.","2019-03-14","2024-08-29 02:48:19","2024-08-29 02:48:19","2022-12-31 20:50:09","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","Issue: arXiv:1903.05844 arXiv:1903.05844 [cs, stat]","","C:\Users\frank\Zotero\storage\N2F9ZJLV\Varma et al. - 2019 - Learning Dependency Structures for Weak Supervisio.pdf; C:\Users\frank\Zotero\storage\Y5M82EYJ\1903.html","","notion","Computer Science - Machine Learning; Statistics - Machine Learning","","","","","","","","","","","","","","","","","","","arXiv:1903.05844","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VXNEW7WV","preprint","2022","Hsieh, Cheng-Yu; Zhang, Jieyu; Ratner, Alexander","Nemo: Guiding and Contextualizing Weak Supervision for Interactive Data Programming","","","","","http://arxiv.org/abs/2203.01382","Weak Supervision (WS) techniques allow users to efficiently create large training datasets by programmatically labeling data with heuristic sources of supervision. While the success of WS relies heavily on the provided labeling heuristics, the process of how these heuristics are created in practice has remained under-explored. In this work, we formalize the development process of labeling heuristics as an interactive procedure, built around the existing workflow where users draw ideas from a selected set of development data for designing the heuristic sources. With the formalism, we study two core problems of how to strategically select the development data to guide users in efficiently creating informative heuristics, and how to exploit the information within the development process to contextualize and better learn from the resultant heuristics. Building upon two novel methodologies that effectively tackle the respective problems considered, we present Nemo, an end-to-end interactive system that improves the overall productivity of WS learning pipeline by an average 20% (and up to 47% in one task) compared to the prevailing WS approach.","2022-10-23","2024-08-29 02:48:21","2024-08-29 02:48:21","2022-12-31 20:47:33","","","","","","","Nemo","","","","","arXiv","","","","","","","arXiv.org","","Issue: arXiv:2203.01382 arXiv:2203.01382 [cs, stat]","","C:\Users\frank\Zotero\storage\HIBI2YC2\Hsieh et al. - 2022 - Nemo Guiding and Contextualizing Weak Supervision.pdf; C:\Users\frank\Zotero\storage\XU49D6MZ\2203.html","","notion","Computer Science - Machine Learning; Statistics - Machine Learning","","","","","","","","","","","","","","","","","","","arXiv:2203.01382","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R4ZYBDQP","preprint","2021","Zhang, Jieyu; Yu, Yue; Li, Yinghao; Wang, Yujing; Yang, Yaming; Yang, Mao; Ratner, Alexander","WRENCH: A Comprehensive Benchmark for Weak Supervision","","","","","http://arxiv.org/abs/2109.11377","Recent Weak Supervision (WS) approaches have had widespread success in easing the bottleneck of labeling training data for machine learning by synthesizing labels from multiple potentially noisy supervision sources. However, proper measurement and analysis of these approaches remain a challenge. First, datasets used in existing works are often private and/or custom, limiting standardization. Second, WS datasets with the same name and base data often vary in terms of the labels and weak supervision sources used, a significant ""hidden"" source of evaluation variance. Finally, WS studies often diverge in terms of the evaluation protocol and ablations used. To address these problems, we introduce a benchmark platform, WRENCH, for thorough and standardized evaluation of WS approaches. It consists of 22 varied real-world datasets for classification and sequence tagging; a range of real, synthetic, and procedurally-generated weak supervision sources; and a modular, extensible framework for WS evaluation, including implementations for popular WS methods. We use WRENCH to conduct extensive comparisons over more than 120 method variants to demonstrate its efficacy as a benchmark platform. The code is available at https://github.com/JieyuZ2/wrench.","2021-10-11","2024-08-29 02:48:23","2024-08-29 02:48:23","2022-12-31 20:46:27","","","","","","","WRENCH","","","","","arXiv","","","","","","","arXiv.org","","Issue: arXiv:2109.11377 arXiv:2109.11377 [cs, stat]","","C:\Users\frank\Zotero\storage\AW3MGFQA\Zhang et al. - 2021 - WRENCH A Comprehensive Benchmark for Weak Supervi.pdf; C:\Users\frank\Zotero\storage\XF354KEB\2109.html","","notion","Computer Science - Artificial Intelligence; Computer Science - Machine Learning; Statistics - Machine Learning; Computer Science - Computation and Language","","","","","","","","","","","","","","","","","","","arXiv:2109.11377","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2NUITXIK","journalArticle","2019","Li, Yu-Feng; Guo, Lan-Zhe; Zhou, Zhi-Hua","Towards Safe Weakly Supervised Learning","IEEE Transactions on Pattern Analysis and Machine Intelligence","","0162-8828, 2160-9292, 1939-3539","10.1109/TPAMI.2019.2922396","https://ieeexplore.ieee.org/document/8735810/","","2019","2024-08-29 02:48:25","2024-08-29 02:48:25","2022-12-31 20:26:25","1-1","","","","","IEEE Trans. Pattern Anal. Mach. Intell.","","","","","","","","","","","","","DOI.org (Crossref)","","","","","","notion","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TA8H6Q56","preprint","2022","Zhang, Jieyu; Hsieh, Cheng-Yu; Yu, Yue; Zhang, Chao; Ratner, Alexander","A Survey on Programmatic Weak Supervision","","","","","http://arxiv.org/abs/2202.05433","Labeling training data has become one of the major roadblocks to using machine learning. Among various weak supervision paradigms, programmatic weak supervision (PWS) has achieved remarkable success in easing the manual labeling bottleneck by programmatically synthesizing training labels from multiple potentially noisy supervision sources. This paper presents a comprehensive survey of recent advances in PWS. In particular, we give a brief introduction of the PWS learning paradigm, and review representative approaches for each component within PWS's learning workflow. In addition, we discuss complementary learning paradigms for tackling limited labeled data scenarios and how these related approaches can be used in conjunction with PWS. Finally, we identify several critical challenges that remain under-explored in the area to hopefully inspire future research directions in the field.","2022-02-14","2024-08-29 02:48:25","2024-08-29 02:48:25","2022-12-31 20:05:20","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","Issue: arXiv:2202.05433 arXiv:2202.05433 [cs, stat]","","C:\Users\frank\Zotero\storage\MKCXI8VW\Zhang et al. - 2022 - A Survey on Programmatic Weak Supervision.pdf; C:\Users\frank\Zotero\storage\WXABEGF6\2202.html","","notion","Computer Science - Artificial Intelligence; Computer Science - Machine Learning; Statistics - Applications","","","","","","","","","","","","","","","","","","","arXiv:2202.05433","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2A54V3FF","conferencePaper","2021","Nodet, Pierre; Lemaire, Vincent; Bondu, Alexis; Cornuejols, Antoine; Ouorou, Adam","From Weakly Supervised Learning to Biquality Learning: an Introduction","2021 International Joint Conference on Neural Networks (IJCNN)","978-1-66543-900-8","","10.1109/IJCNN52387.2021.9533353","https://ieeexplore.ieee.org/document/9533353/","","2021-07-18","2024-08-29 02:48:26","2024-08-29 02:48:26","2022-12-31 17:06:53","1-10","","","","","","From Weakly Supervised Learning to Biquality Learning","","","","","IEEE","Shenzhen, China","","","","","","DOI.org (Crossref)","","","","C:\Users\frank\Zotero\storage\UCNT828M\2012.html; C:\Users\frank\Zotero\storage\7BG4ASWW\Nodet et al. - 2021 - From Weakly Supervised Learning to Biquality Learn.pdf","","notion","Computer Science - Artificial Intelligence; Computer Science - Machine Learning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021 International Joint Conference on Neural Networks (IJCNN)","","","","","","","","","","","","","","",""
"Z6ZN7CNB","conferencePaper","2009","Mintz, Mike; Bills, Steven; Snow, Rion; Jurafsky, Daniel","Distant supervision for relation extraction without labeled data","Proceedings of the Joint Conference of the 47th Annual Meeting of the ACL and the 4th International Joint Conference on Natural Language Processing of the AFNLP","","","","https://aclanthology.org/P09-1113","","2009-08","2024-08-29 02:48:28","2024-08-29 02:48:28","2022-12-30 10:48:53","1003–1011","","","","","","","","","","","Association for Computational Linguistics","Suntec, Singapore","","","","","","ACLWeb","","","","C:\Users\frank\Zotero\storage\GMF884HJ\Mintz et al. - 2009 - Distant supervision for relation extraction withou.pdf","","notion","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACL-IJCNLP 2009","","","","","","","","","","","","","","",""
