Chave,Tipo de Item,Ano de Publicação,Autor,Título,DOI,Url,Nota Abstracta,Data,Editor,Título_traduzido,Nota Resumo_traduzido
SBDIBIM8,preprint,2021.0,"Northcutt, Curtis G.; Athalye, Anish; Mueller, Jonas",Pervasive Label Errors in Test Sets Destabilize Machine Learning Benchmarks,,http://arxiv.org/abs/2103.14749,"We identify label errors in the test sets of 10 of the most commonly-used computer vision, natural language, and audio datasets, and subsequently study the potential for these label errors to affect benchmark results. Errors in test sets are numerous and widespread: we estimate an average of at least 3.3% errors across the 10 datasets, where for example label errors comprise at least 6% of the ImageNet validation set. Putative label errors are identified using confident learning algorithms and then human-validated via crowdsourcing (51% of the algorithmically-flagged candidates are indeed erroneously labeled, on average across the datasets). Traditionally, machine learning practitioners choose which model to deploy based on test accuracy - our findings advise caution here, proposing that judging models over correctly labeled test sets may be more useful, especially for noisy real-world datasets. Surprisingly, we find that lower capacity models may be practically more useful than higher capacity models in real-world datasets with high proportions of erroneously labeled data. For example, on ImageNet with corrected labels: ResNet-18 outperforms ResNet-50 if the prevalence of originally mislabeled test examples increases by just 6%. On CIFAR-10 with corrected labels: VGG-11 outperforms VGG-19 if the prevalence of originally mislabeled test examples increases by just 5%. Test set errors across the 10 datasets can be viewed at https://labelerrors.com and all label errors can be reproduced by https://github.com/cleanlab/label-errors.",2021-11-07,arXiv,Erros de Rótulo Pervasivos em Conjuntos de Teste Desestabilizam Referências de Aprendizado de Máquina,"Identificamos erros de rotulagem nos conjuntos de teste de 10 dos conjuntos de dados de visão computacional, linguagem natural e áudio mais comumente usados e, em seguida, estudamos o potencial desses erros de rotulagem para afetar os resultados de referência. Os erros em conjuntos de teste são numerosos e generalizados: estimamos uma média de pelo menos 3,3% de erros nos 10 conjuntos de dados, onde, por exemplo, os erros de rotulagem representam pelo menos 6% do conjunto de validação do ImageNet. Erros de rotulagem putativos são identificados usando algoritmos de aprendizado confiante e, em seguida, validados por humanos via crowdsourcing (51% dos candidatos sinalizados algoritmicamente estão, de fato, rotulados erroneamente, em média, entre os conjuntos de dados). Tradicionalmente, os praticantes de aprendizado de máquina escolhem qual modelo implantar com base na precisão do teste - nossas descobertas aconselham cautela aqui, propondo que julgar modelos sobre conjuntos de teste corretamente rotulados pode ser mais útil, especialmente para conjuntos de dados do mundo real ruidosos. Surpreendentemente, descobrimos que modelos de menor capacidade podem ser praticamente mais úteis do que modelos de maior capacidade em conjuntos de dados do mundo real com altas proporções de dados rotulados erroneamente. Por exemplo, no ImageNet com rótulos corrigidos: ResNet-18 supera ResNet-50 se a prevalência de exemplos de teste originalmente rotulados incorretamente aumentar em apenas 6%. No CIFAR-10 com rótulos corrigidos: VGG-11 supera VGG-19 se a prevalência de exemplos de teste originalmente rotulados incorretamente aumentar em apenas 5%. Os erros do conjunto de teste nos 10 conjuntos de dados podem ser visualizados em https://labelerrors.com e todos os erros de rotulagem podem ser reproduzidos em https://github.com/cleanlab/label-errors."
Z5ZULGPQ,journalArticle,2018.0,"Zhou, Zhi-Hua",A brief introduction to weakly supervised learning,10.1093/nsr/nwx106,https://academic.oup.com/nsr/article/5/1/44/4093912,"Supervised learning techniques construct predictive models by learning from a large number of training examples, where each training example has a label indicating its ground-truth output. Though current techniques have achieved great success, it is noteworthy that in many tasks it is difficult to get strong supervision information like fully ground-truth labels due to the high cost of the data-labeling process. Thus, it is desirable for machine-learning techniques to work with weak supervision. This article reviews some research progress of weakly supervised learning, focusing on three typical types of weak supervision: incomplete supervision, where only a subset of training data is given with labels; inexact supervision, where the training data are given with only coarse-grained labels; and inaccurate supervision, where the given labels are not always ground-truth.",2018-01-01,,Uma breve introdução ao aprendizado fraco supervisionado,"Técnicas de aprendizado supervisionado constroem modelos preditivos aprendendo a partir de um grande número de exemplos de treinamento, onde cada exemplo de treinamento possui um rótulo que indica sua saída verdadeira. Embora as técnicas atuais tenham alcançado grande sucesso, é notável que em muitas tarefas é difícil obter informações de supervisão forte, como rótulos totalmente verdadeiros, devido ao alto custo do processo de rotulagem de dados. Assim, é desejável que as técnicas de aprendizado de máquina funcionem com supervisão fraca. Este artigo revisa alguns avanços de pesquisa em aprendizado fraco supervisionado, focando em três tipos típicos de supervisão fraca: supervisão incompleta, onde apenas um subconjunto dos dados de treinamento é fornecido com rótulos; supervisão imprecisa, onde os dados de treinamento são fornecidos apenas com rótulos de granulação grosseira; e supervisão ineficaz, onde os rótulos fornecidos nem sempre são verdadeiros."
RVFTYNRU,preprint,2022.0,"Zhang, Rongzhi; Yu, Yue; Shetty, Pranav; Song, Le; Zhang, Chao",PRBoost: Prompt-Based Rule Discovery and Boosting for Interactive Weakly-Supervised Learning,,http://arxiv.org/abs/2203.09735,"Weakly-supervised learning (WSL) has shown promising results in addressing label scarcity on many NLP tasks, but manually designing a comprehensive, high-quality labeling rule set is tedious and difficult. We study interactive weakly-supervised learning -- the problem of iteratively and automatically discovering novel labeling rules from data to improve the WSL model. Our proposed model, named PRBoost, achieves this goal via iterative prompt-based rule discovery and model boosting. It uses boosting to identify large-error instances and then discovers candidate rules from them by prompting pre-trained LMs with rule templates. The candidate rules are judged by human experts, and the accepted rules are used to generate complementary weak labels and strengthen the current model. Experiments on four tasks show PRBoost outperforms state-of-the-art WSL baselines up to 7.1% and bridges the gaps with fully supervised models. Our Implementation is available at \url{https://github.com/rz-zhang/PRBoost}.",2022-03-18,arXiv,PRBoost: Descoberta de Regras Baseada em Prompt e Aumento para Aprendizado Interativo Fracamente Supervisionado,"O aprendizado fraco supervisionado (WSL) mostrou resultados promissores na abordagem da escassez de rótulos em muitas tarefas de PNL, mas projetar manualmente um conjunto abrangente e de alta qualidade de regras de rotulagem é tedioso e difícil. Estudamos o aprendizado fraco supervisionado interativo -- o problema de descobrir iterativamente e automaticamente novas regras de rotulagem a partir de dados para melhorar o modelo WSL. Nosso modelo proposto, chamado PRBoost, alcança esse objetivo por meio da descoberta iterativa de regras baseadas em prompts e do reforço do modelo. Ele utiliza o reforço para identificar instâncias com grandes erros e, em seguida, descobre regras candidatas a partir delas, solicitando modelos de linguagem pré-treinados com templates de regras. As regras candidatas são avaliadas por especialistas humanos, e as regras aceitas são usadas para gerar rótulos fracos complementares e fortalecer o modelo atual. Experimentos em quatro tarefas mostram que o PRBoost supera as linhas de base WSL de última geração em até 7,1% e fecha as lacunas com modelos totalmente supervisionados. Nossa implementação está disponível em \url{https://github.com/rz-zhang/PRBoost}."
RHDZNG78,preprint,2019.0,"Varma, Paroma; Sala, Frederic; He, Ann; Ratner, Alexander; Ré, Christopher",Learning Dependency Structures for Weak Supervision Models,,http://arxiv.org/abs/1903.05844,"Labeling training data is a key bottleneck in the modern machine learning pipeline. Recent weak supervision approaches combine labels from multiple noisy sources by estimating their accuracies without access to ground truth labels; however, estimating the dependencies among these sources is a critical challenge. We focus on a robust PCA-based algorithm for learning these dependency structures, establish improved theoretical recovery rates, and outperform existing methods on various real-world tasks. Under certain conditions, we show that the amount of unlabeled data needed can scale sublinearly or even logarithmically with the number of sources $m$, improving over previous efforts that ignore the sparsity pattern in the dependency structure and scale linearly in $m$. We provide an information-theoretic lower bound on the minimum sample complexity of the weak supervision setting. Our method outperforms weak supervision approaches that assume conditionally-independent sources by up to 4.64 F1 points and previous structure learning approaches by up to 4.41 F1 points on real-world relation extraction and image classification tasks.",2019-03-14,arXiv,Aprendendo Estruturas de Dependência para Modelos de Supervisão Fraca,"Rotular dados de treinamento é um gargalo chave no pipeline moderno de aprendizado de máquina. Abordagens recentes de supervisão fraca combinam rótulos de múltiplas fontes ruidosas estimando suas precisões sem acesso a rótulos de verdadeiros; no entanto, estimar as dependências entre essas fontes é um desafio crítico. Focamos em um algoritmo robusto baseado em PCA para aprender essas estruturas de dependência, estabelecemos taxas de recuperação teórica melhoradas e superamos métodos existentes em várias tarefas do mundo real. Sob certas condições, mostramos que a quantidade de dados não rotulados necessária pode escalar de forma sublinear ou até logarítmica com o número de fontes $m$, melhorando em relação a esforços anteriores que ignoram o padrão de esparsidade na estrutura de dependência e escalam linearmente em $m$. Fornecemos um limite inferior teórico de informação sobre a complexidade mínima de amostra do cenário de supervisão fraca. Nosso método supera abordagens de supervisão fraca que assumem fontes condicionalmente independentes em até 4,64 pontos F1 e abordagens anteriores de aprendizado de estrutura em até 4,41 pontos F1 em tarefas de extração de relações e classificação de imagens do mundo real."
VXNEW7WV,preprint,2022.0,"Hsieh, Cheng-Yu; Zhang, Jieyu; Ratner, Alexander",Nemo: Guiding and Contextualizing Weak Supervision for Interactive Data Programming,,http://arxiv.org/abs/2203.01382,"Weak Supervision (WS) techniques allow users to efficiently create large training datasets by programmatically labeling data with heuristic sources of supervision. While the success of WS relies heavily on the provided labeling heuristics, the process of how these heuristics are created in practice has remained under-explored. In this work, we formalize the development process of labeling heuristics as an interactive procedure, built around the existing workflow where users draw ideas from a selected set of development data for designing the heuristic sources. With the formalism, we study two core problems of how to strategically select the development data to guide users in efficiently creating informative heuristics, and how to exploit the information within the development process to contextualize and better learn from the resultant heuristics. Building upon two novel methodologies that effectively tackle the respective problems considered, we present Nemo, an end-to-end interactive system that improves the overall productivity of WS learning pipeline by an average 20% (and up to 47% in one task) compared to the prevailing WS approach.",2022-10-23,arXiv,Nemo: Orientando e Contextualizando Supervisão Fraca para Programação de Dados Interativa,"Técnicas de Supervisão Fraca (WS) permitem que os usuários criem de forma eficiente grandes conjuntos de dados de treinamento, rotulando programaticamente os dados com fontes heurísticas de supervisão. Embora o sucesso da WS dependa fortemente das heurísticas de rotulagem fornecidas, o processo de como essas heurísticas são criadas na prática permanece pouco explorado. Neste trabalho, formalizamos o processo de desenvolvimento de heurísticas de rotulagem como um procedimento interativo, construído em torno do fluxo de trabalho existente, onde os usuários extraem ideias de um conjunto selecionado de dados de desenvolvimento para projetar as fontes heurísticas. Com o formalismo, estudamos dois problemas centrais de como selecionar estrategicamente os dados de desenvolvimento para orientar os usuários na criação eficiente de heurísticas informativas e como explorar as informações dentro do processo de desenvolvimento para contextualizar e aprender melhor com as heurísticas resultantes. Baseando-se em duas metodologias inovadoras que abordam efetivamente os problemas considerados, apresentamos o Nemo, um sistema interativo de ponta a ponta que melhora a produtividade geral do pipeline de aprendizado WS em uma média de 20% (e até 47% em uma tarefa) em comparação com a abordagem WS predominante."
R4ZYBDQP,preprint,2021.0,"Zhang, Jieyu; Yu, Yue; Li, Yinghao; Wang, Yujing; Yang, Yaming; Yang, Mao; Ratner, Alexander",WRENCH: A Comprehensive Benchmark for Weak Supervision,,http://arxiv.org/abs/2109.11377,"Recent Weak Supervision (WS) approaches have had widespread success in easing the bottleneck of labeling training data for machine learning by synthesizing labels from multiple potentially noisy supervision sources. However, proper measurement and analysis of these approaches remain a challenge. First, datasets used in existing works are often private and/or custom, limiting standardization. Second, WS datasets with the same name and base data often vary in terms of the labels and weak supervision sources used, a significant ""hidden"" source of evaluation variance. Finally, WS studies often diverge in terms of the evaluation protocol and ablations used. To address these problems, we introduce a benchmark platform, WRENCH, for thorough and standardized evaluation of WS approaches. It consists of 22 varied real-world datasets for classification and sequence tagging; a range of real, synthetic, and procedurally-generated weak supervision sources; and a modular, extensible framework for WS evaluation, including implementations for popular WS methods. We use WRENCH to conduct extensive comparisons over more than 120 method variants to demonstrate its efficacy as a benchmark platform. The code is available at https://github.com/JieyuZ2/wrench.",2021-10-11,arXiv,WRENCH: Um Benchmark Abrangente para Supervisão Fraca,"Abordagens recentes de Supervisão Fraca (WS) tiveram um sucesso generalizado em aliviar o gargalo da rotulagem de dados de treinamento para aprendizado de máquina, sintetizando rótulos a partir de várias fontes de supervisão potencialmente ruidosas. No entanto, a medição e análise adequadas dessas abordagens continuam sendo um desafio. Primeiro, os conjuntos de dados utilizados em trabalhos existentes são frequentemente privados e/ou personalizados, limitando a padronização. Em segundo lugar, conjuntos de dados WS com o mesmo nome e dados base muitas vezes variam em termos dos rótulos e fontes de supervisão fraca utilizadas, uma fonte significativa de variação de avaliação ""oculta"". Por fim, estudos de WS frequentemente divergem em termos do protocolo de avaliação e das ablações utilizadas. Para abordar esses problemas, introduzimos uma plataforma de benchmark, WRENCH, para avaliação minuciosa e padronizada de abordagens WS. Ela consiste em 22 conjuntos de dados do mundo real variados para classificação e marcação de sequência; uma gama de fontes de supervisão fraca reais, sintéticas e geradas proceduralmente; e uma estrutura modular e extensível para avaliação WS, incluindo implementações para métodos WS populares. Usamos o WRENCH para realizar comparações extensivas em mais de 120 variantes de métodos para demonstrar sua eficácia como uma plataforma de benchmark. O código está disponível em https://github.com/JieyuZ2/wrench."
2NUITXIK,journalArticle,2019.0,"Li, Yu-Feng; Guo, Lan-Zhe; Zhou, Zhi-Hua",Towards Safe Weakly Supervised Learning,10.1109/TPAMI.2019.2922396,https://ieeexplore.ieee.org/document/8735810/,,2019,,Rumo ao Aprendizado Fraco Supervisionado Seguro,nan
TA8H6Q56,preprint,2022.0,"Zhang, Jieyu; Hsieh, Cheng-Yu; Yu, Yue; Zhang, Chao; Ratner, Alexander",A Survey on Programmatic Weak Supervision,,http://arxiv.org/abs/2202.05433,"Labeling training data has become one of the major roadblocks to using machine learning. Among various weak supervision paradigms, programmatic weak supervision (PWS) has achieved remarkable success in easing the manual labeling bottleneck by programmatically synthesizing training labels from multiple potentially noisy supervision sources. This paper presents a comprehensive survey of recent advances in PWS. In particular, we give a brief introduction of the PWS learning paradigm, and review representative approaches for each component within PWS's learning workflow. In addition, we discuss complementary learning paradigms for tackling limited labeled data scenarios and how these related approaches can be used in conjunction with PWS. Finally, we identify several critical challenges that remain under-explored in the area to hopefully inspire future research directions in the field.",2022-02-14,arXiv,Uma Pesquisa sobre Supervisão Fraca Programática,"A rotulagem de dados de treinamento tornou-se um dos principais obstáculos ao uso de aprendizado de máquina. Entre os vários paradigmas de supervisão fraca, a supervisão fraca programática (PWS) alcançou um sucesso notável em aliviar o gargalo da rotulagem manual, sintetizando programaticamente rótulos de treinamento a partir de várias fontes de supervisão potencialmente ruidosas. Este artigo apresenta uma pesquisa abrangente dos avanços recentes em PWS. Em particular, fazemos uma breve introdução ao paradigma de aprendizado PWS e revisamos abordagens representativas para cada componente dentro do fluxo de trabalho de aprendizado da PWS. Além disso, discutimos paradigmas de aprendizado complementares para enfrentar cenários de dados rotulados limitados e como essas abordagens relacionadas podem ser usadas em conjunto com a PWS. Finalmente, identificamos vários desafios críticos que permanecem pouco explorados na área, na esperança de inspirar futuras direções de pesquisa no campo."
2A54V3FF,conferencePaper,2021.0,"Nodet, Pierre; Lemaire, Vincent; Bondu, Alexis; Cornuejols, Antoine; Ouorou, Adam",From Weakly Supervised Learning to Biquality Learning: an Introduction,10.1109/IJCNN52387.2021.9533353,https://ieeexplore.ieee.org/document/9533353/,,2021-07-18,IEEE,De Aprendizado Supervisionado Fraco a Aprendizado Biqualificado: uma Introdução,nan
Z6ZN7CNB,conferencePaper,2009.0,"Mintz, Mike; Bills, Steven; Snow, Rion; Jurafsky, Daniel",Distant supervision for relation extraction without labeled data,,https://aclanthology.org/P09-1113,,2009-08,Association for Computational Linguistics,Supervisão distante para extração de relações sem dados rotulados,nan
